textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
31,royal rescues presidential hopes with commanding performance,0.0534206,0.0228644,0.187633,0.442401,0.116556,0.177125
32,minister slams airlines on carbon,0.106414,0.0874932,0.256059,0.137285,0.242956,0.169793
33,audio slide show a love story lasting years,0.0552976,0.0929768,0.228443,0.244523,0.112065,0.266695
34,fully cooked chicken strips recalled,0.0984458,0.0676369,0.304871,0.135573,0.190488,0.202985
35,madonna adoption bid approved,0.0274286,0.0398838,0.110365,0.440582,0.123446,0.258295
36,rowdy fans ejected from the open,0.0612362,0.0219633,0.1951,0.315374,0.144272,0.262054
37,snow wreaks havoc in east midwest,0.0811484,0.0349427,0.299058,0.0712657,0.266777,0.246808
38,the energy challenge exotic visions how to cool a planet maybe,0.0531231,0.0813572,0.265459,0.187835,0.109518,0.302708
39,libby defense upsets judge rests,0.135793,0.115925,0.182817,0.104287,0.12879,0.332387
40,briton admits u s bomb plot role,0.151821,0.112584,0.313462,0.137556,0.177717,0.10686
41,routine mission turns into hunt for missing comrade,0.0541704,0.0424504,0.221622,0.279292,0.200937,0.201529
42,ex suspect slams anti terror laws,0.122479,0.0714321,0.342273,0.193356,0.145356,0.125103
43,federer overcomes a ragged start,0.0290916,0.0371385,0.133868,0.38861,0.0744899,0.336801
44,investigation of child porn site hits nations,0.217927,0.274803,0.132705,0.000117066,0.22269,0.151758
45,bangladesh ends curfew amid unrest,0.0710229,0.0661432,0.251587,0.188656,0.163818,0.258773
46,sarkozy comfort zone offers a royal opportunity,0.0890069,0.0890306,0.262098,0.232765,0.122527,0.204573
47,sick hearts switch on a fetal gene,0.0644546,0.0707835,0.332824,0.165454,0.180366,0.186118
48,chinese president arrives in mozambique african tour nearly over,0.0899975,0.0244781,0.257066,0.285478,0.155409,0.187572
49,homemade bombs kill on indian train,0.102297,0.0780336,0.282112,0.09761,0.281112,0.158836
50,france rejects rwandan investigators,0.137132,0.0858665,0.290085,0.135453,0.161836,0.189628
51,at libby trial russert of nbc gives and gets,0.104649,0.0928369,0.157547,0.246653,0.152319,0.245994
52,rare optimism as north korea talks reach crossroads,0.157228,0.0467456,0.257273,0.226434,0.196656,0.115662
53,for women nothing s like the smell of men s sweat,7.98E-10,0.188219,1.79E-09,0.152915,1.37E-09,0.658866
54,reports harvard set to name first female president,0.0704881,0.0305374,0.116409,0.292947,0.129988,0.35963
55,justin timberlake cameron diaz announce split,0.0884749,0.0689941,0.278581,0.110844,0.25614,0.196967
56,hastert sorry for scandal but not quitting,0.0683052,0.111452,0.0877428,0.20516,0.235149,0.292191
57,world s oldest newspaper now exists only online,0.09991,0.0664452,0.248636,0.187811,0.147332,0.249865
58,houston she s got some problems,0.0760263,0.0531508,0.202787,0.259488,0.124446,0.284102
59,firms on alert for letter bombs,0.0642037,0.0425535,0.244193,0.220977,0.192066,0.236006
60,study africa s internet gap getting wider,0.0917299,0.0938729,0.217034,0.195219,0.12888,0.273264
61,siesta cuts risk of heart disease death study finds,0.0256529,0.0169457,0.206264,0.256584,0.143288,0.351265
62,spain ahead although nadal is out,0.0506441,0.0533581,0.196294,0.307365,0.0989848,0.293354
63,runway making good without making nice,0.0467509,0.0560303,0.110308,0.403983,0.115098,0.26783
64,russia plans new icbms nuclear subs,0.112009,0.0619677,0.306103,0.22144,0.103184,0.195296
65,no buyer in sight for napster,0.0905723,0.0625777,0.196385,0.20894,0.22875,0.212775
66,outcry at n korea nuclear test,0.154936,0.0312081,0.298879,0.272368,0.106202,0.136408
67,ipod good for video games,0.0259572,0.0324038,0.0266366,0.497868,0.0820872,0.335047
68,taking the plunge,0.0392377,0.0180716,0.232447,0.311347,0.122603,0.276294
69,england include giles in wc squad,0.076649,0.0476601,0.295904,0.111012,0.332646,0.136129
70,beyonce copyright claim rejected,0.0711707,0.0622251,0.205604,0.191277,0.13148,0.338243
71,london market a shopping dining haven,0.0537728,0.0705303,0.251414,0.267278,0.153453,0.203552
72,pm havana deal a good experiment,0.0708626,0.0721461,0.19174,0.319853,0.121789,0.223609
73,dozens killed in baghdad bombing,0.163703,0.0925951,0.298583,0.0535707,0.343545,0.0480031
74,damaged japanese whaling ship may resume hunting off antarctica,0.0630814,0.0927121,0.157152,0.251827,0.219739,0.215488
75,un nuclear watchdog slashes iran aid,0.197224,0.0588744,0.336841,0.112467,0.168355,0.126239
76,toyota s scion parks in second life,0.101361,0.0538926,0.296183,0.138373,0.19756,0.21263
77,telecoms giant slashes jobs,0.085809,0.0696282,0.284831,0.106041,0.241383,0.212309
78,canete wins inaugural joburg open,0.0631422,0.0548601,0.185644,0.417949,0.0866223,0.191782
79,yahoo s mission quest,0.0915973,0.0682288,0.220059,0.239241,0.159992,0.220882
80,weekly nielsen will lost find its way back,0.105573,0.057828,0.145895,0.266172,0.242747,0.181785
81,u s online love brokers eye china,0.149871,0.0537329,0.283035,0.203611,0.154172,0.155579
82,amish schoolhouse torn down,0.110769,0.0644349,0.259794,0.0733135,0.270814,0.220875
83,china cheney shores up the trilateral alliance,0.0574243,0.0337921,0.212665,0.296778,0.0876044,0.311737
84,g yen skates by yuan singled out,0.117354,0.0860144,0.250124,0.174123,0.163376,0.209009
85,friendly fire pilot experienced,0.0366004,0.0853998,0.390199,2.10E-07,0.170701,0.317099
86,updates on world s top stories,7.90E-08,6.61E-08,0.6667,1.82E-07,9.88E-08,0.3333
87,diplomat acknowledges us arrogance in iraq,0.190341,0.10766,0.268118,0.0423689,0.346432,0.0450803
88,madonna s new baby s daddy didn t realize adoption was for good,0.0891533,0.0643181,0.173724,0.327557,0.132874,0.212373
89,appeal by chinese researcher for times may soon be heard,0.0507769,0.0367376,0.161563,0.336127,0.127004,0.287792
90,snowbirds shortening their florida stays,0.0653537,0.0574197,0.204391,0.311406,0.189015,0.172416
91,oxfam action needed for chad,0.105237,0.0609011,0.215394,0.24765,0.166544,0.204274
92,bush adamant on troops to iraq,0.211397,0.136385,0.251738,0.0799712,0.267662,0.0528469
93,ukraine gas deal marred by fears,0.11176,0.0883369,0.242494,0.174281,0.151186,0.231944
94,shoplifters choice police or t shirt of shame,0.0772822,0.0807107,0.213614,0.261189,0.152071,0.215134
95,travel chaos as heavy snow hits uk,0.0358019,0.0136634,0.347245,0.091755,0.337356,0.174179
96,tow truck drivers accused of stealing cars,0.0775678,0.0777844,0.204651,0.238803,0.197531,0.203663
97,joseph wambaugh s new start,0.0589208,0.0359372,0.161358,0.401005,0.115506,0.227273
98,human error caused helios crash,0.0791985,0.0659995,0.227463,0.0943145,0.375464,0.157561
99,charts is your city lean or lethargic,0.0342494,0.045205,0.117612,0.36689,0.0568178,0.379227
100,st louis poised for entertainment upswing,0.0717434,0.0527246,0.209675,0.268119,0.184186,0.213552
101,ivrea journal in italian town a civics lesson from pelting neighbors,0.0743817,0.0666332,0.345772,0.118913,0.192534,0.201766
102,review virtual american idol hits right notes,0.000119799,4.08E-05,0.000158678,0.63739,0.000106982,0.362183
103,squadron apologies over friendly fire death,0.187768,0.0535612,0.239252,0.033643,0.361399,0.124377
104,the breast cancer breakthrough saving women a year,0.0334316,0.0499085,0.223786,0.339307,0.0972747,0.256292
105,abbas rejects temporary state,0.151123,0.0964336,0.373023,0.0842864,0.147581,0.147553
106,iraqi forces detain official suspected in shia conspiracy,0.126928,0.0689564,0.267056,0.0896357,0.286139,0.161285
107,congressman rebukes u s allies for lack of support in afghanistan,0.122452,0.0457263,0.302585,0.163063,0.141318,0.224856
108,easy ways to really save,0.0947601,0.0144214,0.151732,0.277806,0.116828,0.344452
109,real suffer carlos injury setback,0.0791008,0.0660582,0.300027,0.158713,0.187043,0.209059
110,marijuana may stave off alzheimer s,0.0558835,0.0291249,0.154071,0.285557,0.111481,0.363884
111,smokestacks in a white wilderness divide iceland,0.0717709,0.0864982,0.310282,0.168823,0.170023,0.192603
112,paris journal smoking no longer tres chic in france,0.0980501,0.0523072,0.30375,0.17355,0.205112,0.167231
113,cher s dress car bed have new owners,0.1098,0.0399157,0.175065,0.339822,0.112143,0.223255
114,hungarian opposition calls for vote after violence escalates,0.128691,0.10294,0.275931,0.149248,0.208743,0.134448
115,freed kidnap suspect my terror at police raid,0.146313,0.137773,0.428609,0.0971213,0.138466,0.0517174
116,rockers big winners at brit awards,0.077446,0.0399707,0.184187,0.391232,0.101955,0.205208
117,cia leak trial summary,0.126819,0.0788076,0.272525,0.141947,0.17633,0.203572
118,experts issue new heart disease guidelines for women,0.0159811,0.0297295,0.0944288,0.410877,0.061787,0.387197
119,in god s name religion based tax breaks housing to paychecks to books,0.109838,0.0285175,0.249778,0.23021,0.161797,0.21986
120,snow causes transport chaos in britain,0.0725988,0.00245997,0.342274,0.00721381,0.42453,0.150924
121,injured sarwan to miss one dayers,0.11917,0.0315326,0.174653,0.231074,0.14421,0.29936
122,study napping might help heart,0.00467596,0.00593288,0.0345244,0.497319,0.0108502,0.446698
123,tailors and housewives busy as muslims celebrate eid,0.0848752,0.0906409,0.271043,0.183876,0.210177,0.159389
124,malaysia aggressively wooing tourists,0.0673855,0.0615205,0.256109,0.217891,0.174786,0.222307
125,creating a whole album in a month,0.0573214,0.0596695,0.284394,0.184116,0.170734,0.243765
126,wellcome awards anti fat research,0.083247,0.12541,0.22023,0.2111,0.156444,0.203569
127,can t do this anymore not jack,0.11117,0.0661788,0.167702,0.168324,0.245384,0.241241
128,iran s boast on uranium enrichment is put to test,0.180453,0.0730242,0.37784,0.0909134,0.103562,0.174208
129,iraq closes borders with syria and iran,0.160052,0.0727031,0.296876,0.159364,0.21476,0.0962449
130,in clue to addiction brain injury halts smoking,0.0414969,0.0176055,0.242062,0.265512,0.174718,0.258605
131,manning inspires giants to victory in dallas,0.075987,0.0412642,0.223314,0.255176,0.214955,0.189303
132,research supports medicinal marijuana,0.0805093,0.0672305,0.260966,0.183908,0.165292,0.242095
133,iraq insurgents attack us base,0.222706,0.0753242,0.433551,0.0206284,0.21913,0.0286604
134,fire extinguisher part of tennessee execution kit,0.0948854,0.0912554,0.212621,0.114893,0.237777,0.248569
135,city sets up ice storm shelters,0.050361,0.0203361,0.317897,0.230296,0.188941,0.192169
136,gently weeps lyrics sheet up for sale,0.0649908,0.0645626,0.209347,0.250911,0.163038,0.24715
137,cholesterol link in diabetes study,0.0771405,0.0698641,0.259431,0.186515,0.183791,0.223258
138,zoo polar bear to have root canal,0.180257,0.0351865,0.183317,0.212316,0.155701,0.233222
139,howard slams obama on iraq policy,0.148173,0.0898433,0.207936,0.20289,0.249298,0.10186
140,fight starts over hpv vaccine,0.12611,0.0291057,0.209292,0.223788,0.230066,0.181638
141,obama announces presidential bid,0.0198563,0.0581514,0.0570994,0.481664,0.21393,0.169299
142,another death at georgia aquarium,0.126497,0.0411167,0.205146,0.223324,0.269337,0.13458
143,johnny depp to make movie of spy poisoning,6.56E-07,0.043498,0.173896,0.282617,0.0870014,0.412987
144,pap test a mainstay against cervical cancer may be fading,0.0914425,0.0502441,0.154396,0.315545,0.148722,0.23965
145,boy allegedly told to kill by mom gives up,0.115606,0.0557637,0.242591,0.146026,0.200718,0.239294
146,catania punished for fan violence,0.0847363,0.0571774,0.176769,0.270674,0.240432,0.170211
147,the summit a slap in the face of the palestinians,0.0423868,0.0479557,0.311459,0.186898,0.144849,0.266451
148,dead bachelors in remote china still find wives,0.074077,0.0444805,0.269375,0.116323,0.287646,0.208099
149,boy missing since found alive,0.0194947,0.0207877,0.152667,0.354357,0.127303,0.32539
150,girl left comatose after dental visit dies,0.0467373,0.0392095,0.204108,0.130161,0.378785,0.200999
151,fine wines in british columbia,0.0883752,0.0528745,0.322079,0.0988757,0.314149,0.123646
152,bollywood s brangelina engaged,0.0915059,0.0681745,0.219991,0.239482,0.159896,0.220951
153,north korea ready to discuss nuke disarmament,0.0550891,0.0183086,0.317807,0.414632,0.0479589,0.146205
154,action intensity boosts vision,0.0738203,0.0820589,0.181227,0.197827,0.0607863,0.404281
155,stonehenge workers village found,0.0460784,0.0746113,0.171432,0.223487,0.143972,0.34042
156,scientists tout cocoa s health benefits,0.0875455,0.0488496,0.216001,0.246853,0.172583,0.228167
157,can north korea be trusted,0.110151,0.0317501,0.192988,0.363428,0.116097,0.185586
158,trailblazing trio protects city by the bay,0.0562931,0.0548561,0.246646,0.262477,0.124921,0.254807
159,ganguly handed india squad call up,0.0693727,0.046724,0.197795,0.258082,0.143763,0.284263
160,beauticians cut curl offer stroke prevention info,0.0533388,0.0419072,0.263781,0.224992,0.143307,0.272674
161,studios sign off on movie downloads,0.0741566,0.0584293,0.255379,0.220371,0.194672,0.196992
162,global web of suspects in child rape download,0.129523,0.140864,0.218405,0.0927472,0.227276,0.191185
163,libby prosecutors await judge s rulings,0.0915791,0.0861869,0.185551,0.185677,0.167479,0.283528
164,police probe church fires half mile apart,0.108493,0.0876884,0.300466,0.167737,0.181187,0.154428
165,second hanging also went awry iraq tape shows,0.185975,0.104963,0.317956,0.0572188,0.264878,0.0690081
166,stepping back in time at ski resort,0.115636,0.0582263,0.28324,0.221575,0.17946,0.141864
167,iraqi journalists add laws to list of dangers,0.0937395,0.0555802,0.19368,0.201712,0.176354,0.278934
168,boy scouts blamed for starting wildfire,0.0776981,0.05351,0.211985,0.214825,0.239535,0.202447
169,report links humans to global warming,0.130341,0.0457843,0.161283,0.223761,0.175899,0.262932
170,stenson defends his title at dubai,0.0846717,0.0339629,0.218718,0.382624,0.115218,0.164806
171,iraqi linked to sunni bloc is held in plot military says,0.136697,0.0373685,0.302628,0.129154,0.182963,0.21119
172,china launches two satellites into orbit,0.00408407,0.00416892,0.0131566,0.959164,0.0061986,0.0132277
173,north africa feared as staging ground for terror,0.14824,0.0844696,0.280192,0.131804,0.253682,0.101612
174,breast cancer drug promises hope,0.0342377,0.015963,0.284373,0.276491,0.179906,0.209029
175,mortar assault leaves at least dead,0.0963258,0.0302757,0.271718,0.173509,0.298141,0.13003
176,building a memorial to a son one child at a time,0.0693964,0.0826073,0.270327,0.198576,0.156657,0.222436
177,northeaster cancels flights shuts schools,0.0858152,0.0528609,0.305864,0.109151,0.254901,0.191408
178,india to test new nuclear missile,0.115701,0.0295449,0.243152,0.281305,0.118058,0.212239
179,dell to cut bonuses trim management,0.108978,0.0174211,0.15604,0.293417,0.142453,0.281692
180,uk workers on alert for letter bombs,0.0578837,0.0504294,0.211445,0.210277,0.207868,0.262096
181,storm leaves behind major travel troubles,0.0778934,0.0402695,0.405434,0.05583,0.278178,0.142395
182,rupert murdoch s secret tivo,0.0860262,0.0343798,0.188404,0.177216,0.184769,0.329206
183,house passes anti terrorism measure manila,0.0790786,0.0578723,0.226849,0.297705,0.157807,0.180688
184,genghis khan beer mongolia grimaces,0.0904251,0.0712778,0.288419,0.136249,0.205895,0.207734
185,youtube founders split m payout,0.0353916,0.0501621,0.0886293,0.459165,0.0886131,0.278039
186,former teacher poses for playboy,0.0790135,0.0732241,0.187308,0.253269,0.20887,0.198315
187,madonna files adoption papers in malawi,0.0136311,0.00690538,0.0438073,0.585099,0.0405355,0.310022
188,eye on cosmos is lost to short circuit on hubble,0.0607997,0.0573781,0.212602,0.276032,0.141845,0.251343
189,all african amputee football games kick off,0.05652,0.0332074,0.156467,0.318835,0.155571,0.2794
190,forecasters expect toasty,0.0904251,0.0712778,0.288419,0.136249,0.205895,0.207734
191,corn stoves popping up in u s homes,0.12391,0.0400871,0.319852,0.163158,0.159142,0.193852
192,chvez threatens to jail violators of price controls,0.114296,0.058293,0.128638,0.270158,0.153134,0.275482
193,scientists discover miracle in the depths,0.0690055,0.0210829,0.295734,0.183139,0.188045,0.242994
194,google unveils do it yourself search engine,0.0690283,0.06893,0.204485,0.179228,0.257546,0.220783
195,ready to eat chicken breasts recalled due to suspected listeria,0.137595,0.0243106,0.219564,0.263531,0.145386,0.209614
196,teen allegedly armed by mom turns self in,0.107634,0.0549889,0.301927,0.113038,0.264522,0.15789
197,town packs gym to mourn killed in fire,0.111984,0.0634268,0.234909,0.11661,0.35631,0.11676
198,cocoa could be antidote to age related diseases says new study,0.0915709,0.0186435,0.157719,0.353103,0.108383,0.270581
199,roundup protests erupt despite state of siege in guinea,0.116417,0.0802123,0.299762,0.0953866,0.231436,0.176787
200,bush authorized iranians arrest in iraq rice says,0.173877,0.0962951,0.296852,0.0554684,0.292797,0.0847104
201,anglican and catholic churches could merge,0.0683198,0.090553,0.177691,0.349487,0.0945487,0.219401
202,cousin gunman was srebrenica survivor,0.0709675,0.0688554,0.189689,0.12223,0.211498,0.336761
203,australia tells bush to speed up guantanamo trial,0.121611,0.0496919,0.192882,0.188088,0.176369,0.271359
204,european space agency,0.0673115,0.0600343,0.246354,0.215026,0.125274,0.286
205,the secrets people reveal,0.0211359,0.0226181,0.135878,0.478183,0.05933,0.282854
206,news baby pandas baby pandas baby pandas,0.0733248,0.0814154,0.224944,0.176831,0.166392,0.277093
207,health canada issues advice on canned tuna,0.0747363,0.0490008,0.320936,0.170052,0.207301,0.177973
208,grammys ready to name winners,0.119288,0.0142624,0.127979,0.404191,0.0825422,0.251737
209,asean urges north korea resolution,0.108645,0.0317796,0.220272,0.358266,0.100571,0.180466
210,rebels to join nepal parliament,0.150873,0.030657,0.255029,0.1745,0.180393,0.208547
211,rice u s won t pull plug on iraq,0.141503,0.0537525,0.321082,0.152614,0.196689,0.13436
212,anglicans rebuke u s branch on same sex unions,0.159912,0.0432819,0.32669,0.165736,0.159703,0.144676
213,somalia declares state of emergency,0.0849953,0.0569375,0.30429,0.145713,0.215204,0.19286
214,hussein co defendants executed,0.108339,0.0981143,0.267573,0.106498,0.225096,0.194379
215,james brown s year old son left out of will,0.0729852,0.0505687,0.106899,0.370953,0.11963,0.278963
216,ms adds office to vista coupon program,0.117782,0.0482003,0.165819,0.228663,0.149722,0.289813
217,britain to limit workers from romania bulgaria,0.119364,0.0357107,0.216988,0.185149,0.192758,0.25003
218,us airways boosts bid for delta,4.96E-07,0.1786,6.47E-07,0.321399,0.035701,0.464299
219,hpv vaccination stirs heated debate in america,0.120024,0.045891,0.307563,0.124873,0.266417,0.135231
220,full recovery expected for marathon winner,0.064906,0.0409177,0.174025,0.343399,0.198038,0.178714
221,beckham won t play again for real,0.0982087,0.084144,0.149209,0.291307,0.153918,0.223213
222,cultural revolutionary the ipod is five,0.0334092,0.0299809,0.242699,0.296894,0.0794651,0.317551
223,village buried by inches of snow,0.0130346,0.0148623,0.181039,0.14005,0.120045,0.530968
224,mountain glaciers melting faster united nations says,0.114194,0.0477756,0.164494,0.19044,0.291459,0.191637
225,ice storm smacks roads power,0.0716747,0.0325738,0.439504,0.0514812,0.258187,0.14658
226,ex border patrol agent beaten in prison,0.146085,0.0403661,0.300842,0.114216,0.230265,0.168227
227,israel to install cameras to show live mughrabi footage,0.15671,0.0406136,0.170775,0.243824,0.151012,0.237065
228,latest updates on world s top stories,0.000178321,0.000120902,0.666047,0.00036284,0.00018158,0.333109
229,lily allen wins web music award,0.0454848,0.0444381,0.159535,0.439199,0.0824895,0.228854
230,rowling heartbroken euphoric at potter s end,0.041595,0.0238112,0.126749,0.204116,0.338958,0.264771
231,hamas fatah leaders pledge to meet until they reach agreement,0.123789,0.0335852,0.257654,0.226625,0.139837,0.218511
232,new vaccine for cervical cancer could prove useful in men too,0.0564167,0.045716,0.169017,0.266162,0.150087,0.312601
233,mbeki world cup planning on track,0.0547926,0.0197183,0.295005,0.211336,0.14957,0.269578
234,money makeovers,0.0829382,0.0644503,0.260798,0.182622,0.186179,0.223013
235,punter charged with stabbing asks to live outside state,0.113841,0.0347832,0.24405,0.237586,0.170952,0.198788
236,emi warns on profits boss goes,0.092776,0.0647924,0.333593,0.140552,0.208953,0.159334
237,gunman fine before shooting,0.0997372,0.0887174,0.255091,0.0638582,0.235004,0.257592
238,svindal claims are golden double,0.102425,0.106564,0.193294,0.282665,0.172667,0.142385
239,ethiopia readies for millennium all its own,0.0677484,0.0429028,0.182978,0.316727,0.124984,0.26466
240,mancuso sparks u s celebrations,0.139713,0.0467251,0.28224,0.212067,0.155017,0.16424
241,nasa spacecraft to measure sun,0.128299,0.0280532,0.168775,0.228008,0.150505,0.29636
242,teen repellent inventor wins infamous prize,0.0724924,0.062171,0.202153,0.311123,0.141112,0.210949
243,peron held over s rights abuses,0.160957,0.0703102,0.249148,0.161814,0.147127,0.210644
244,kim jong il bans japanese cars in north korea,0.122451,0.0511214,0.268075,0.260855,0.14272,0.154777
245,canadians tracked in child porn ring,0.178344,0.213466,0.147199,0.130549,0.195389,0.135053
246,ryan o neal injured son s girlfriend,0.0493246,0.0337166,0.294218,0.148264,0.167155,0.307322
247,messi makes barcelona squad return,0.0691894,0.0579434,0.222379,0.297077,0.129639,0.223772
248,brith airways baggage charges cause confusion,0.0962573,0.0687552,0.231665,0.116304,0.133992,0.353026
249,a film star in kampala conjuring aminos ghost,0.0513176,0.0547615,0.266825,0.23842,0.184583,0.204092
250,opponent is put on the spot over remarks about clinton,0.0470001,0.0643974,0.232098,0.192158,0.125002,0.339345
251,apple set for massive market gains,0.122575,0.0519795,0.0903839,0.190502,0.21251,0.332049
252,vista s hyped security will be tested,0.0785329,0.0326434,0.175898,0.276731,0.224958,0.211237
253,dating difficult for harry potter,0.077019,0.0738223,0.18525,0.258656,0.199898,0.205355
254,uk letter bombs may be from extremist drivers,0.0691452,0.0209711,0.117832,0.418627,0.128967,0.244458
255,bush vows cooperation on health care,0.0977698,0.0486264,0.212135,0.299317,0.167762,0.174389
256,baby born on turnpike after dad misses exit,0.0835686,0.1238,0.240387,0.102763,0.300594,0.148888
257,parachutist dies at bridge jump festival,0.0550292,0.0241811,0.184705,0.140915,0.441457,0.153712
258,citing spy agencies study democrats seek iraq changes,0.16491,0.0914135,0.228705,0.147477,0.24564,0.121855
259,airlines uk airport runway unsafe,0.0709103,0.0643744,0.26874,0.106018,0.242389,0.247568
260,man gets second chance at space ride,0.09119,0.0874439,0.172817,0.323229,0.12781,0.19751
261,archaeologists find remains of couple locked in a hug,0.0718449,0.071466,0.219029,0.158797,0.159366,0.319497
262,study detects a gene linked to alzheimer s,0.0890882,0.0690691,0.210032,0.155697,0.15307,0.323043
263,weight loss drug to be sold over the counter,0.110377,0.0377101,0.198079,0.200643,0.173603,0.279589
264,zach braff says he has mild depression,0.0957012,0.0492051,0.244043,0.199713,0.258494,0.152844
265,apple warns itunes users to wait on vista,0.0638929,0.0516609,0.0684227,0.0763826,0.26241,0.477231
266,guy sweat is babe magnet,0.0267569,0.101898,0.0692406,0.20561,0.0663381,0.530157
267,in egypt rice speaks softly,0.120198,0.0802183,0.297696,0.108309,0.284202,0.109377
268,ex jonbenet suspect child porn case dropped,0.170311,0.171211,0.188827,0.0721656,0.142979,0.254508
269,court tv accused killer tells jury a love story,0.0846634,0.098416,0.23213,0.208522,0.140643,0.235625
270,us to urge nato afghan spring offensive,0.194337,0.0664342,0.270663,0.138172,0.227145,0.103249
271,texan allegedly joined somalia rebel plot,0.122951,0.0888723,0.278016,0.158002,0.157779,0.194379
272,tensions as hungary marks uprising,0.0712562,0.0541804,0.25717,0.19522,0.217259,0.204914
273,idf shells lebanese army positions across northern border,0.182905,0.0866225,0.293083,0.0882983,0.221431,0.127661
274,north korea claims nuclear test,0.101911,0.026767,0.293587,0.319214,0.124585,0.133936
275,beckham to l a for the game not fame,0.0432524,0.0662755,0.255715,0.286135,0.121941,0.22668
276,hungary police tackle violent protestors,0.159085,0.0989297,0.270374,0.1813,0.151562,0.138749
277,arthurs upsets robredo in first round at the st petersburg open,0.0756102,0.0641396,0.264003,0.201655,0.178765,0.215827
278,brazil air force cites faults and confusion in fatal crash,0.10626,0.0515389,0.232907,0.105931,0.315934,0.18743
279,war is close ethiopia tells somali rebels,0.0918269,0.0590658,0.181138,0.2585,0.128861,0.280608
280,democrats plot bush troop increase censure,0.167565,0.127352,0.287228,0.0917103,0.161672,0.164472
281,bangladesh ferry sinks dead,0.0802962,0.0345347,0.299063,0.0623165,0.349081,0.174709
282,sale of chrysler possible,0.0784565,0.0908761,0.165293,0.22979,0.223291,0.212293
283,lawyer for deceased nazi era collaborator papon vows to bury him,0.15235,0.076078,0.259656,0.147151,0.198208,0.166557
284,mixed reaction to china s africa push,0.101164,0.0552152,0.227874,0.232105,0.128571,0.255072
285,jon stewart mocks benefits of cnn s i,0.0821678,0.0910538,0.201754,0.190932,0.188399,0.245693
286,top colombia official resigns,0.100667,0.105782,0.242445,0.177742,0.253186,0.120177
287,toshiba portege r,0.0904251,0.0712778,0.288419,0.136249,0.205895,0.207734
288,luxury digs in south carolina s lowcountry,0.103949,0.0584021,0.296505,0.138484,0.172801,0.229859
289,th person dies after receiving flu shot,0.050496,0.0237093,0.290241,0.125228,0.37595,0.134376
290,bears watch as lead slips away,0.0209215,0.010424,0.119934,0.540536,0.137287,0.170898
